n_trades,mean_ret_pct,win_rate,t_stat,p_value,sharpe,cagr_pct,max_dd_pct,n_stocks,sub_periods,id,family,rules,hold
5345,0.1516,53.21,2.173,0.014913674683431107,0.502,13.34,-78.06,120,"{'2014-2017': 0.432, '2018-2021': 0.67, '2022-2024': 0.105}",H0059,A_single,"[('sma_dev_atr', '<', -0.75)]",3
150719,-0.0495,48.55,-10.765,2.57224438370165e-27,-0.649,-13.1,-80.83,130,"{'2014-2017': -0.89, '2018-2021': -0.236, '2022-2024': -1.205}",H0060,A_single,"[('williams_r', '<', -95)]",1
101441,0.0167,51.12,2.207,0.013659404350831806,0.054,-2.11,-74.32,130,"{'2014-2017': -0.22, '2018-2021': 0.497, '2022-2024': -0.48}",H0061,A_single,"[('williams_r', '<', -95)]",2
76707,0.0821,52.0,7.382,7.847397451720159e-14,0.507,12.04,-72.97,130,"{'2014-2017': 0.451, '2018-2021': 0.896, '2022-2024': -0.124}",H0062,A_single,"[('williams_r', '<', -95)]",3
153087,-0.0457,48.68,-9.926,1.633922191801433e-23,-0.532,-11.25,-74.6,130,"{'2014-2017': -0.793, '2018-2021': -0.139, '2022-2024': -1.046}",H0063,A_single,"[('williams_r', '<', -90)]",1
102979,0.0247,51.22,3.28,0.000520053650187325,0.173,1.01,-69.13,130,"{'2014-2017': 0.086, '2018-2021': 0.495, '2022-2024': -0.496}",H0064,A_single,"[('williams_r', '<', -90)]",2
77839,0.0799,52.07,7.221,2.6034585033217075e-13,0.557,13.84,-71.95,130,"{'2014-2017': 0.741, '2018-2021': 0.921, '2022-2024': -0.171}",H0065,A_single,"[('williams_r', '<', -90)]",3
155234,-0.0443,48.69,-9.621,3.321512097655956e-22,-0.464,-10.22,-71.52,130,"{'2014-2017': -0.713, '2018-2021': -0.056, '2022-2024': -1.042}",H0066,A_single,"[('williams_r', '<', -85)]",1
104400,0.0313,51.37,4.164,1.5649318939562595e-05,0.342,5.74,-62.68,130,"{'2014-2017': 0.384, '2018-2021': 0.66, '2022-2024': -0.444}",H0067,A_single,"[('williams_r', '<', -85)]",2
78881,0.0895,52.16,8.07,3.569740191627007e-16,0.662,18.1,-73.83,130,"{'2014-2017': 0.858, '2018-2021': 0.869, '2022-2024': 0.096}",H0068,A_single,"[('williams_r', '<', -85)]",3
157247,-0.0439,48.7,-9.548,6.679832495807674e-22,-0.479,-10.47,-75.01,130,"{'2014-2017': -0.878, '2018-2021': -0.128, '2022-2024': -1.032}",H0069,A_single,"[('williams_r', '<', -80)]",1
105663,0.0333,51.38,4.41,5.184382481089451e-06,0.505,10.68,-61.52,130,"{'2014-2017': 0.645, '2018-2021': 0.741, '2022-2024': -0.336}",H0070,A_single,"[('williams_r', '<', -80)]",2
79800,0.0944,52.12,8.502,9.449499589451987e-18,0.764,22.84,-72.46,130,"{'2014-2017': 1.069, '2018-2021': 0.73, '2022-2024': 0.267}",H0071,A_single,"[('williams_r', '<', -80)]",3
150719,-0.0495,48.55,-10.765,2.57224438370165e-27,-0.649,-13.1,-80.83,130,"{'2014-2017': -0.89, '2018-2021': -0.236, '2022-2024': -1.205}",H0072,A_single,"[('stoch_k', '<', 5)]",1
101441,0.0167,51.12,2.207,0.013659404350831806,0.054,-2.11,-74.32,130,"{'2014-2017': -0.22, '2018-2021': 0.497, '2022-2024': -0.48}",H0073,A_single,"[('stoch_k', '<', 5)]",2
76707,0.0821,52.0,7.382,7.847397451720159e-14,0.507,12.04,-72.97,130,"{'2014-2017': 0.451, '2018-2021': 0.896, '2022-2024': -0.124}",H0074,A_single,"[('stoch_k', '<', 5)]",3
153087,-0.0457,48.68,-9.926,1.633922191801433e-23,-0.532,-11.25,-74.6,130,"{'2014-2017': -0.793, '2018-2021': -0.139, '2022-2024': -1.046}",H0075,A_single,"[('stoch_k', '<', 10)]",1
102979,0.0247,51.22,3.28,0.000520053650187325,0.173,1.01,-69.13,130,"{'2014-2017': 0.086, '2018-2021': 0.495, '2022-2024': -0.496}",H0076,A_single,"[('stoch_k', '<', 10)]",2
77839,0.0799,52.07,7.221,2.6034585033217075e-13,0.557,13.84,-71.95,130,"{'2014-2017': 0.741, '2018-2021': 0.921, '2022-2024': -0.171}",H0077,A_single,"[('stoch_k', '<', 10)]",3
155234,-0.0443,48.69,-9.621,3.321512097655956e-22,-0.464,-10.22,-71.52,130,"{'2014-2017': -0.713, '2018-2021': -0.056, '2022-2024': -1.042}",H0078,A_single,"[('stoch_k', '<', 15)]",1
104400,0.0313,51.37,4.164,1.5649318939562595e-05,0.342,5.74,-62.68,130,"{'2014-2017': 0.384, '2018-2021': 0.66, '2022-2024': -0.444}",H0079,A_single,"[('stoch_k', '<', 15)]",2
78881,0.0895,52.16,8.07,3.569740191627007e-16,0.662,18.1,-73.83,130,"{'2014-2017': 0.858, '2018-2021': 0.869, '2022-2024': 0.096}",H0080,A_single,"[('stoch_k', '<', 15)]",3
157247,-0.0439,48.7,-9.548,6.679832495807674e-22,-0.479,-10.47,-75.01,130,"{'2014-2017': -0.878, '2018-2021': -0.128, '2022-2024': -1.032}",H0081,A_single,"[('stoch_k', '<', 20)]",1
105663,0.0333,51.38,4.41,5.184382481089451e-06,0.505,10.68,-61.52,130,"{'2014-2017': 0.645, '2018-2021': 0.741, '2022-2024': -0.336}",H0082,A_single,"[('stoch_k', '<', 20)]",2
79800,0.0944,52.12,8.502,9.449499589451987e-18,0.764,22.84,-72.46,130,"{'2014-2017': 1.069, '2018-2021': 0.73, '2022-2024': 0.267}",H0083,A_single,"[('stoch_k', '<', 20)]",3
6132,0.0501,49.95,1.654,0.049096942719835515,-0.624,-14.56,-84.33,130,"{'2014-2017': -0.259, '2018-2021': -0.408, '2022-2024': -1.333}",H0084,A_single,"[('cci', '<', -200)]",1
5079,0.0409,51.78,0.934,0.17519791219201478,-0.251,-9.69,-81.24,130,"{'2014-2017': -0.26, '2018-2021': -0.123, '2022-2024': -0.537}",H0085,A_single,"[('cci', '<', -200)]",2
4655,0.1209,52.59,2.174,0.014880153321503869,-0.245,-11.95,-88.84,130,"{'2014-2017': 0.097, '2018-2021': -0.253, '2022-2024': -0.806}",H0086,A_single,"[('cci', '<', -200)]",3
16270,0.0204,50.34,1.068,0.14284656508655516,-0.692,-17.29,-90.34,130,"{'2014-2017': -0.729, '2018-2021': -0.728, '2022-2024': -0.809}",H0087,A_single,"[('cci', '<', -150)]",1
12869,-0.0308,51.17,-1.171,0.12088745901702155,-0.251,-11.98,-88.96,130,"{'2014-2017': -0.648, '2018-2021': -0.231, '2022-2024': -0.114}",H0088,A_single,"[('cci', '<', -150)]",2
11054,0.003,52.1,0.083,0.4670893517680943,0.023,-6.79,-86.73,130,"{'2014-2017': 0.181, '2018-2021': 0.008, '2022-2024': -0.481}",H0089,A_single,"[('cci', '<', -150)]",3
35326,-0.0337,50.59,-2.727,0.0032007093672349126,-0.214,-6.6,-73.04,130,"{'2014-2017': -0.419, '2018-2021': -0.078, '2022-2024': -0.425}",H0090,A_single,"[('cci', '<', -100)]",1
26290,0.0114,51.89,0.626,0.2657681901487482,0.151,0.13,-70.78,130,"{'2014-2017': 0.255, '2018-2021': 0.13, '2022-2024': -0.104}",H0091,A_single,"[('cci', '<', -100)]",2
21666,0.0762,52.53,2.986,0.0014151546284622838,0.718,22.07,-79.72,130,"{'2014-2017': 1.08, '2018-2021': 0.589, '2022-2024': 0.338}",H0092,A_single,"[('cci', '<', -100)]",3
47275,-0.0254,50.54,-2.448,0.007184306916068082,-0.278,-7.48,-64.46,130,"{'2014-2017': -0.184, '2018-2021': 0.019, '2022-2024': -0.977}",H0093,A_single,"[('cci', '<', -75)]",1
34455,0.0281,51.93,1.803,0.03565945540469123,0.254,3.22,-65.0,130,"{'2014-2017': 0.142, '2018-2021': 0.646, '2022-2024': -0.4}",H0094,A_single,"[('cci', '<', -75)]",2
27820,0.1066,52.64,4.745,1.0482131465964997e-06,0.67,19.64,-72.92,130,"{'2014-2017': 1.061, '2018-2021': 0.791, '2022-2024': -0.21}",H0095,A_single,"[('cci', '<', -75)]",3
21972,0.0133,50.64,0.935,0.1750089510955683,-0.128,-7.58,-79.82,130,"{'2014-2017': -0.395, '2018-2021': 0.165, '2022-2024': -0.583}",H0096,A_composite,"[('ibs', '<', 0.15), ('rsi_3', '<', 25)]",1
19840,0.1403,52.81,6.818,4.762296565636171e-12,0.296,4.02,-79.4,130,"{'2014-2017': -0.011, '2018-2021': 0.59, '2022-2024': 0.104}",H0097,A_composite,"[('ibs', '<', 0.15), ('rsi_3', '<', 25)]",2
18732,0.1681,53.33,6.567,2.6378190240599478e-11,0.487,11.23,-89.15,130,"{'2014-2017': 0.373, '2018-2021': 0.553, '2022-2024': 0.413}",H0098,A_composite,"[('ibs', '<', 0.15), ('rsi_3', '<', 25)]",3
30378,0.0024,50.43,0.197,0.42183765388221484,0.013,-3.49,-73.27,130,"{'2014-2017': -0.263, '2018-2021': 0.429, '2022-2024': -0.473}",H0099,A_composite,"[('ibs', '<', 0.2), ('rsi_3', '<', 30)]",1
26724,0.113,52.59,6.484,4.5440562968699274e-11,0.229,1.89,-80.56,130,"{'2014-2017': -0.401, '2018-2021': 0.774, '2022-2024': -0.045}",H0100,A_composite,"[('ibs', '<', 0.2), ('rsi_3', '<', 30)]",2
24771,0.1731,53.29,7.778,3.841536084298018e-15,0.539,13.44,-86.08,130,"{'2014-2017': 0.274, '2018-2021': 0.658, '2022-2024': 0.573}",H0101,A_composite,"[('ibs', '<', 0.2), ('rsi_3', '<', 30)]",3
38834,-0.0032,50.36,-0.299,0.3825209899666051,0.172,1.22,-59.36,130,"{'2014-2017': -0.062, '2018-2021': 0.661, '2022-2024': -0.281}",H0102,A_composite,"[('ibs', '<', 0.25), ('rsi_3', '<', 35)]",1
33366,0.0922,52.32,5.993,1.037617053455436e-09,0.516,11.52,-63.37,130,"{'2014-2017': 0.016, '2018-2021': 0.795, '2022-2024': 0.584}",H0103,A_composite,"[('ibs', '<', 0.25), ('rsi_3', '<', 35)]",2
30420,0.1504,53.22,7.619,1.311403440181038e-14,0.874,28.39,-70.39,130,"{'2014-2017': 0.546, '2018-2021': 1.035, '2022-2024': 0.973}",H0104,A_composite,"[('ibs', '<', 0.25), ('rsi_3', '<', 35)]",3
11410,0.044,50.84,1.842,0.03274892154509682,-0.706,-16.84,-89.7,130,"{'2014-2017': -0.577, '2018-2021': -0.884, '2022-2024': -0.653}",H0105,A_composite,"[('bb_z_20', '<', -2.0), ('rsi_3', '<', 35)]",1
